solar panel warranty,1500,low,product intent,keyword,search_volume,competition,cpc_low,cpc_high
commercial,solar panels,14800,MEDIUM,5.866658,18.894497
commercial,solar panel installation,2400,LOW,7.835983,35.392754
commercial,solar companies,3600,LOW,6.844435,29.140493
commercial,solar contractors,480,LOW,5.797801,30.682901
commercial,solar quotes,480,MEDIUM,16.264141,59.974882
commercial,solar financing,40,MEDIUM,6.871978,18.302323
commercial,solar incentives,110,HIGH,4.282936,12.449435
commercial,solar battery storage,720,LOW,2.368697,9.226904
commercial,solar power for homes,6600,LOW,6.25226,23.673208
commercial,solar energy companies,2400,LOW,4.338022,19.266328
commercial,solar installation companies,1900,LOW,7.505467,24.100124
commercial,solar panel installers,,,,
commercial,solar system cost,590,HIGH,1.377149,13.055381
commercial,solar panel cost,2900,LOW,4.145221,14.51516
commercial,solar energy cost,2900,LOW,4.145221,14.51516
commercial,solar rebates,170,HIGH,2.988415,9.075418
commercial,solar tax credit,170,LOW,2.579607,8.194042
commercial,solar grants,20,MEDIUM,3.690761,15.630652
commercial,solar energy savings,20,MEDIUM,6.004373,13.220639
commercial,solar power rebates,170,LOW,4.362269,16.153969
commercial,solar energy consultation,70,LOW,0,0
informational,solar energy,2900,LOW,5.797801,18.877688
informational,solar energy benefits,140,MEDIUM,2.533955,7.973698
informational,solar energy savings,20,MEDIUM,6.004373,13.220639
informational,solar installation process,10,LOW,0,0
informational,solar panel reviews,70,HIGH,3.346474,7.739582
informational,solar energy tips,10,UNSPECIFIED,0,0
informational,solar energy for homes,6600,LOW,6.25226,23.673208
informational,solar energy for businesses,110,LOW,0,0
informational,solar energy for schools,10,LOW,0,0
informational,solar energy for farms,10,LOW,0,0
transactional,buy solar panels,210,HIGH,3.307272,15.451622
transactional,solar panel quotes,210,MEDIUM,42.003074,90.933214
transactional,solar installation near me,1600,LOW,10.783084,42.127018
transactional,solar panel installers near me,1600,LOW,10.783084,42.127018
transactional,solar companies near me,2400,LOW,8.536264,32.982742
transactional,solar panel financing,90,LOW,6.79279,18.756782
transactional,solar battery installation,50,LOW,0,0
transactional,solar maintenance services,10,LOW,0,0
navigational,tesla solar panels,1600,MEDIUM,3.759619,13.881671
navigational,sunpower solar panels,590,HIGH,3.95242,16.484485
navigational,lg solar panels,20,HIGH,0,0
navigational,panasonic solar panels,50,HIGH,2.754299,13.41344
navigational,renogy solar panels,210,HIGH,0.275429,30.614044
branded,tesla solar,2900,MEDIUM,5.398427,19.142384
branded,sunrun solar,1600,LOW,3.024951,13.661327
branded,sunpower,1600,LOW,4.764938,18.743011
branded,lg solar,10,MEDIUM,0,0
branded,panasonic solar,10,HIGH,0,0
expanded,solar panels for home,6600,LOW,6.25226,23.673208
expanded,solar installers near me,1300,LOW,8.979017,34.34612
expanded,sunpower solar,480,MEDIUM,5.756485,23.549264
expanded,solar power,2400,MEDIUM,6.938464,21.841598
expanded,tesla solar roof,1000,MEDIUM,3.291388,12.174005
expanded,solar panels for sale,880,HIGH,3.043501,12.091376
expanded,best solar panels,720,HIGH,4.627223,12.752408
expanded,best solar companies,390,LOW,7.422838,41.658787
expanded,free solar panels,210,HIGH,6.293575,19.844731
expanded,solar panel price,480,MEDIUM,3.800933,10.412248
expanded,tesla solar roof cost,210,MEDIUM,3.098587,10.466339
expanded,solar providers near me,2400,LOW,8.536264,32.982742
expanded,sunrun solar panels,590,HIGH,4.585909,17.472868
expanded,solar panels near me,590,LOW,6.692948,31.027189
expanded,off grid solar system,480,HIGH,1.156805,6.885749
expanded,solar panel companies,390,LOW,7.491695,31.123589
expanded,home solar system,2400,MEDIUM,6.20017,21.332053
expanded,solar installation,3600,LOW,7.491695,26.565223
expanded,tesla solar panels cost,210,HIGH,3.897334,12.256634
expanded,solar panel system,320,HIGH,5.701399,15.217507
expanded,solar panel installation cost,590,LOW,4.654766,13.496069
expanded,solar panels for your home,6600,LOW,6.25226,23.673208
expanded,sunrun solar company,30,LOW,3.12613,15.89231
expanded,solar panels for home cost,590,MEDIUM,4.627223,14.14333
expanded,best solar panel companies,110,LOW,3.814705,22.447543
expanded,average cost of solar panels,110,MEDIUM,3.897334,10.301081
expanded,solar installation cost,90,MEDIUM,6.927064,15.52048
expanded,top solar companies,50,LOW,5.508599,19.65193
expanded,solar panels for home use,70,MEDIUM,5.246941,18.426266
expanded,local solar companies,260,LOW,5.205975,23.32892
expanded,solar panel companies near me,720,LOW,8.799988,32.087594
expanded,solar power companies near me,2400,LOW,8.536264,32.982742
expanded,solar contractors near me,90,LOW,9.516106,30.145813
expanded,solar panel system cost,20,MEDIUM,0,0
expanded,best solar companies near me,590,LOW,7.367752,41.548615
expanded,home solar system cost,260,LOW,6.458833,16.016254
expanded,solar power companies,3600,LOW,6.844435,29.140493
expanded,solar power installers near me,1300,LOW,8.979017,34.34612
expanded,install solar panels on roof,140,HIGH,7.271351,26.592766
expanded,vivint solar panels,20,MEDIUM,8.951474,15.589337
expanded,sun power,260,LOW,2.836928,15.630652
